Most_Concentrated_Sector_By_Market_data
Area,State,Description,% of Area's Workforce Dedicated to Sector vs National Avg,% of Area's Workforce Dedicated to Sector
"Indianapolis-Carmel-Anderson, IN Metro Area",Indiana,Health Care and Social Assistance,-4.7%,15.5%
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",Florida,Health Care and Social Assistance,-7.4%,15.1%
"San Antonio-New Braunfels, TX Metro Area",Texas,Health Care and Social Assistance,-6.7%,15.2%
"Orlando-Kissimmee-Sanford, FL Metro Area",Florida,Accommodation and Food Services,42.9%,16.3%
"Tucson, AZ Metro Area",Arizona,Health Care and Social Assistance,18.5%,19.3%
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",New Jersey,Health Care and Social Assistance,16.1%,18.9%
"Richmond, VA Metro Area",Virginia,Health Care and Social Assistance,-5.9%,15.3%
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",New Jersey,Health Care and Social Assistance,20.7%,19.7%
"Omaha-Council Bluffs, NE-IA Metro Area",Iowa,Health Care and Social Assistance,-2.2%,15.9%
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",Tennessee,Health Care and Social Assistance,-2.3%,15.9%
"Bridgeport-Stamford-Norwalk, CT Metro Area",Connecticut,Health Care and Social Assistance,2.1%,16.6%
"St. Louis, MO-IL Metro Area",Illinois,Health Care and Social Assistance,-6.3%,15.3%
"Riverside-San Bernardino-Ontario, CA Metro Area",California,Retail Trade,25.7%,15.9%
"Kansas City, MO-KS Metro Area",Kansas,Health Care and Social Assistance,-11.0%,14.5%
"Dallas-Fort Worth-Arlington, TX Metro Area",Texas,Health Care and Social Assistance,-22.8%,12.6%
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",Minnesota,Health Care and Social Assistance,-0.3%,16.2%
"Charlotte-Concord-Gastonia, NC-SC Metro Area",North Carolina,Health Care and Social Assistance,-22.4%,12.6%
"Birmingham-Hoover, AL Metro Area",Alabama,Health Care and Social Assistance,-3.1%,15.8%
"Oklahoma City, OK Metro Area",Oklahoma,Health Care and Social Assistance,-4.1%,15.6%
"Phoenix-Mesa-Scottsdale, AZ Metro Area",Arizona,Health Care and Social Assistance,-10.7%,14.5%
"Knoxville, TN Metro Area",Tennessee,Health Care and Social Assistance,-1.2%,16.1%
"Seattle-Tacoma-Bellevue, WA Metro Area",Washington,Health Care and Social Assistance,-15.0%,13.8%
"Denver-Aurora-Lakewood, CO Metro Area",Colorado,Health Care and Social Assistance,-20.2%,13.0%
"San Francisco-Oakland-Hayward, CA Metro Area",California,Health Care and Social Assistance,-21.0%,12.9%
"Milwaukee-Waukesha-West Allis, WI Metro Area",Wisconsin,Health Care and Social Assistance,4.0%,16.9%
"Providence-Warwick, RI-MA Metro Area",Massachusetts,Health Care and Social Assistance,24.3%,20.2%
"Cincinnati, OH-KY-IN Metro Area",Indiana,Health Care and Social Assistance,-5.5%,15.4%
"Cleveland-Elyria, OH Metro Area",Ohio,Health Care and Social Assistance,22.2%,19.9%
"Houston-The Woodlands-Sugar Land, TX Metro Area",Texas,Health Care and Social Assistance,-19.3%,13.1%
"Hartford-West Hartford-East Hartford, CT Metro Area",Connecticut,Health Care and Social Assistance,20.4%,19.6%
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",Illinois,Health Care and Social Assistance,-12.0%,14.3%
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Oregon,Health Care and Social Assistance,-7.7%,15.0%
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",California,"Professional, Scientific, and Technical Services",82.0%,13.0%
"Memphis, TN-MS-AR Metro Area",Arkansas,Health Care and Social Assistance,-5.0%,15.5%
"Detroit-Warren-Dearborn, MI Metro Area",Michigan,Health Care and Social Assistance,-5.8%,15.3%
"Louisville/Jefferson County, KY-IN Metro Area",Indiana,Health Care and Social Assistance,-7.6%,15.0%
"Salt Lake City, UT Metro Area",Utah,Health Care and Social Assistance,-31.9%,11.1%
"Greensboro-High Point, NC Metro Area",North Carolina,Manufacturing,84.7%,16.9%
"Baton Rouge, LA Metro Area",Louisiana,Construction,228.1%,17.3%
"Los Angeles-Long Beach-Anaheim, CA Metro Area",California,Health Care and Social Assistance,-16.0%,13.7%
"Grand Rapids-Wyoming, MI Metro Area",Michigan,Manufacturing,141.3%,22.0%
"Tulsa, OK Metro Area",Oklahoma,Health Care and Social Assistance,-5.4%,15.4%
